IPC;IDKey;Creator;CreationTime;DestructionTime
PIPE1;4/5;SM;12:58:4;12:58:20
PIPE2;6/7;SM;12:58:4;12:58:20
FIFO;8;SM;12:58:4;12:58:20
SH2;4c010e1d;SM;12:58:4;12:58:20
MQS;41010e1d;SM;12:58:4;12:58:20
SEMAPHORE;49009;SM;12:58:4;12:58:20
PIPE3;4/5;RM;12:58:4;12:58:29
PIPE4;6/7;RM;12:58:4;12:58:29
FIFO;;SM;12:58:4;
SH;48241;SM;12:58:4;12:58:29
MQ;49001;SM;12:58:4;12:58:29
MQR;44010e1d;RM;12:58:4;12:58:29
IPC;IDKey;Creator;CreationTime;DestructionTime
PIPE1;4/5;SM;13:1:41;13:1:57
PIPE2;6/7;SM;13:1:41;13:1:57
FIFO;8;SM;13:1:41;13:1:57
SH2;4c010e1d;SM;13:1:41;13:1:57
MQS;41010e1d;SM;13:1:41;13:1:57
SEMAPHORE;49009;SM;13:1:41;13:1:57
PIPE3;4/5;RM;13:1:41;13:2:6
PIPE4;6/7;RM;13:1:41;13:2:6
FIFO;;SM;13:1:41;
SH;48241;SM;13:1:41;13:2:6
MQ;49001;SM;13:1:41;13:2:6
MQR;44010e1d;RM;13:1:41;13:2:6
IPC;IDKey;Creator;CreationTime;DestructionTime
PIPE1;4/5;SM;13:2:31;13:2:47
FIFO;8;SM;13:2:31;13:2:47
PIPE2;6/7;SM;13:2:31;13:2:47
SH2;4c010e1d;SM;13:2:31;13:2:47
MQS;41010e1d;SM;13:2:31;13:2:47
SEMAPHORE;49009;SM;13:2:31;13:2:47
PIPE3;4/5;RM;13:2:31;13:2:56
PIPE4;6/7;RM;13:2:31;13:2:56
FIFO;;SM;13:2:31;
SH;48241;SM;13:2:31;13:2:56
MQ;49001;SM;13:2:31;13:2:56
MQR;44010e1d;RM;13:2:31;13:2:56
IPC;IDKey;Creator;CreationTime;DestructionTime
PIPE1;4/5;SM;13:3:4;13:3:20
PIPE2;6/7;SM;13:3:4;13:3:20
FIFO;8;SM;13:3:4;13:3:20
SH2;4c010e1d;SM;13:3:4;13:3:20
MQS;41010e1d;SM;13:3:4;13:3:20
SEMAPHORE;49009;SM;13:3:4;13:3:20
PIPE3;4/5;RM;13:3:4;13:3:29
PIPE4;6/7;RM;13:3:4;13:3:29
FIFO;;SM;13:3:4;
SH;48241;SM;13:3:4;13:3:29
MQ;49001;SM;13:3:4;13:3:29
MQR;44010e1d;RM;13:3:4;13:3:29
IPC;IDKey;Creator;CreationTime;DestructionTime
PIPE1;4/5;SM;13:3:33;13:3:42
PIPE2;6/7;SM;13:3:33;13:3:42
SH2;4c010e1d;SM;13:3:33;13:3:42
MQS;41010e1d;SM;13:3:33;13:3:42
SEMAPHORE;49009;SM;13:3:33;13:3:42
IPC;IDKey;Creator;CreationTime;DestructionTime
IPC;IDKey;Creator;CreationTime;DestructionTime
PIPE1;4/5;SM;13:5:13;13:5:29
PIPE2;6/7;SM;13:5:13;13:5:29
FIFO;8;SM;13:5:13;13:5:29
SH2;4c010e1d;SM;13:5:13;13:5:29
MQS;41010e1d;SM;13:5:13;13:5:29
SEMAPHORE;49009;SM;13:5:13;13:5:29
PIPE3;4/5;RM;13:5:13;13:5:38
PIPE4;6/7;RM;13:5:13;13:5:38
FIFO;;SM;13:5:13;
SH;48241;SM;13:5:13;13:5:38
MQ;49001;SM;13:5:13;13:5:38
MQR;44010e1d;RM;13:5:13;13:5:38
IPC;IDKey;Creator;CreationTime;DestructionTime
PIPE1;4/5;SM;13:6:17;13:6:33
FIFO;8;SM;13:6:17;13:6:33
PIPE2;6/7;SM;13:6:17;13:6:33
SH2;4c010e1d;SM;13:6:17;13:6:33
