IPC;IDKey;Creator;CreationTime;DestructionTime
Q;49001;SM;11:27:48;11:27:58
Q-INC;440108e7;SM;11:27:48;11:27:58
Q-RMV;450108e7;SM;11:27:48;11:27:58
Q-SND;460108e7;SM;11:27:48;11:27:58
SH;48241;SM;11:27:48;11:27:58
SH2;410108e7;SM;11:27:48;11:27:58
SEM;49009;SM;11:27:48;11:27:58
SEM2;420108e7;SM;11:27:48;11:27:58
PIPE1;4/5;SM;11:27:48;11:27:58
PIPE2;6/7;SM;11:27:48;11:27:58
SEM1;470108e7;SM;11:27:48;11:27:58
FIFO;3;SM;11:27:48;11:27:58
PIPE3;4/5;RM;11:27:48;11:27:58
PIPE4;6/7;RM;11:27:48;11:27:58
